Name,Team,G,PA,HR,R,RBI,BB,SO,SB,CS,AVG,BB/K,wOBA,Def,Off,wRC+,BB%+,K%+,OBP+,SLG+,ISO+,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
"JJ Bleday","OAK",82,331,11,35,29,36,60,0,1,0.252559726,0.6,0.34291905237407216,-1.3996138812508434,9.504229947012062,128.06221290696448,134.29989121502985,80.70028429489645,108.69603416788938,115.9823796909551,132.84880817442658,-0.46446835109964013,0.22387957095634192,-0.7090859642402737,1.9645588630891644,"JJ Bleday",26368,668709
"Cal Raleigh","SEA",77,291,14,30,49,30,91,3,0,0.203921568,0.329670329,0.29837396103760294,10.379746691090986,-1.164253570867381,99.31009148893078,127.30029753456466,139.2195452853009,93.28051954707693,100.68988819947349,125.11957822251638,1.219794429372996,-0.2815280696377158,1.4878459779461073,1.942246004447386,"Cal Raleigh",21534,663728
"Yordan Alvarez","HOU",77,333,16,44,41,30,52,3,0,0.288135593,0.576923076,0.37011258540357034,-8.354315528646111,15.792371087449883,144.96678273671634,111.24440458567994,69.52018484671959,116.45058446006607,129.70222879458754,144.926643149359,1.281778022646904,2.1037737442129583,-0.739363689271612,1.9027992698352734,"Yordan Alvarez",19556,670541
"Salvador Perez","KCR",80,321,12,30,47,24,58,0,0,0.28275862,0.413793103,0.34804960924481587,1.9923779340460896,5.801525802810259,123.34375257320195,92.32245905200647,80.44050141228952,113.75698456791743,116.31418106574105,114.41969679425988,1.255925020435825,0.4619777511106804,0.864364111096797,1.8984294750644208,"Salvador Perez",7304,521692
"Will Smith","LAD",68,291,11,37,46,27,48,0,1,0.263779527,0.5625,0.3400431451284223,2.2082850225269794,6.046213597049501,120.31685037045209,112.95880805730198,73.33323241150622,106.86963089054184,115.24229819673823,128.34809469523174,0.9922595745301805,0.5732676510233432,0.42069992341463813,1.8570455636397392,"Will Smith",19197,669257
"Jackson Merrill","SDP",81,293,10,36,37,14,48,9,2,0.283636363,0.291666666,0.32454636631340816,1.8725204088259488,6.232540380399029,112.18134232091164,58.17142908481125,72.83266427521322,101.41709856300902,107.34402774865848,95.30246377972547,0.02789657172979787,0.7873439632821828,-0.7574497736050515,1.8485933456125632,"Jackson Merrill",29490,701538
"Colton Cowser","BAL",77,253,11,31,33,24,74,5,1,0.23076923,0.324324324,0.32978839845771335,3.252670825459063,6.176481448476432,117.44209873932454,117.13640073740868,130.21559693873886,103.45920982409231,112.76356234852824,138.59399380866535,-1.8636775517370552,0.0018326831050217152,-1.9158283760975259,1.8344382942534727,"Colton Cowser",29591,681297
"Christian Walker","ARI",81,346,17,48,51,32,88,2,2,0.249180327,0.363636363,0.33896941428928706,1.3698495421558619,4.723163472436025,116.74941538909167,112.59606303475167,113.0730624798334,102.7219241551677,115.49205913217216,138.3238481943764,0.0018446834292262793,0.2463931046659127,-0.24449821030663121,1.825069572350772,"Christian Walker",13419,572233
"Daulton Varsho","TOR",74,278,11,40,35,27,72,8,1,0.204,0.375,0.30361939269861726,7.465895537985489,0.8836608725030222,98.27562260565226,119.92787062351245,115.30270812743623,91.83050117116716,104.71748372745242,135.27928754129098,1.8072012413758785,-0.37152676755795255,2.4596961762190697,1.8087356740193579,"Daulton Varsho",19918,662139
"Masyn Winn","STL",73,283,4,32,27,20,58,8,3,0.287937743,0.344827586,0.3238207059247153,3.7361011314205825,4.0954566965245025,109.35222098518318,86.03851107637111,91.11589357984484,106.15556245744153,103.27953498311379,82.0793259535371,-0.18238472158554941,-0.25420689990278333,0.08396918009945384,1.785822507018425,"Masyn Winn",27479,691026
"Corey Seager","TEX",70,303,14,34,36,33,55,1,0,0.257462686,0.6,0.33227073783810074,3.7380570508539677,3.205512554903481,116.80478034667581,134.48457230080345,80.8112579984023,109.84979636132566,110.83401861056272,116.6693377448444,2.005298657575622,0.4516396699473262,1.6840416279196844,1.7494465592437531,"Corey Seager",13624,608369
"Isiah Kiner-Falefa","TOR",80,268,6,27,31,13,37,3,1,0.282786885,0.351351351,0.32111684871169754,4.345164465717971,3.4563389084328544,110.48196863156292,59.89763944239035,61.46370517344726,107.31031205208508,101.10255160967468,75.84092441533255,0.6105512322392315,0.2260662792250514,0.4772104629508337,1.7181832969762774,"Isiah Kiner-Falefa",16512,643396
"Carlos Santana","MIN",75,291,12,31,39,27,44,2,0,0.253846153,0.613636363,0.3372121863711664,0.5905354153364897,6.415019397186261,120.99970861964059,114.57026815155207,67.31494504649656,107.7167906255611,112.30795218376277,122.71343253655338,-0.2505164050089661,0.18464496219530702,-0.4427402709101655,1.7148374844173433,"Carlos Santana",2396,467793
"CJ Abrams","WSN",72,320,12,48,40,20,62,13,8,0.279863481,0.322580645,0.35369384439209656,-4.615240202285349,10.492280871657119,128.61382984660852,76.09030833208308,86.13790260724258,105.4475285118411,124.45528217176447,141.80733687922603,0.8068652795627713,0.4410542988916859,0.33840509660668605,1.7128161347031272,"CJ Abrams",25768,682928
"Alex Bregman","HOU",76,330,9,35,35,26,46,2,0,0.253333333,0.565217391,0.3145770195758704,4.173280739225447,1.365846992272803,106.22478888738833,97.28828749842735,62.05770335299721,101.84132937159147,102.36805283498155,97.8435096442053,-0.5585798232350498,-0.1777671140152961,-0.40055173709748115,1.6971476747819065,"Alex Bregman",17678,608324
"Nico Hoerner","CHC",73,307,3,38,20,29,32,14,2,0.248148148,0.90625,0.30326368430860684,4.521173607558012,0.9441191526813182,96.34260842924179,115.00294071090771,46.34086985826062,106.46823909721563,84.525487105556,59.18739247441906,0.6579228547634557,-0.2874452844262123,0.8945620643372175,1.6254315265963335,"Nico Hoerner",21479,663538
"Kyle Schwarber","PHI",79,367,17,60,49,59,103,4,2,0.25,0.572815533,0.3570234138671666,-8.877691811532713,12.31220430650246,130.01797823875992,195.72002920244464,124.77389734935704,118.46109025568967,110.80188860734611,125.71402199408661,0.9748831742908806,1.1288352955962182,-0.07335871021132756,1.6242187906486176,"Kyle Schwarber",16478,656941
"Jonathan India","CIN",74,302,5,37,32,39,62,8,1,0.271653543,0.629032258,0.34354702348740684,-0.14241401833714917,5.727481785292538,115.18367167786934,157.21970889918524,91.2719496735712,119.7896044481265,97.66296450203093,78.01550831463048,0.4601305848918855,0.25632419530302286,0.21303186239363503,1.6204433640167275,"Jonathan India",21523,663697
"Brendan Donovan","STL",75,327,8,36,41,21,44,2,3,0.269624573,0.477272727,0.33032340631572477,0.18855733890086412,4.401482706646578,113.74346597958363,78.18453640980482,59.82152808452248,106.74957518061758,104.13605235349766,95.99265869254243,1.2865045545622706,0.7356628595734946,0.506272791751508,1.6046190134118303,"Brendan Donovan",24679,680977
"Vladimir Guerrero Jr.","TOR",81,354,11,39,44,39,59,2,0,0.289808917,0.661016949,0.35762434725045483,-8.545897320844233,12.235786754408648,135.94985146958075,136.03870780684565,74.1994278349582,119.58389474051663,113.0356226505724,101.6098477273658,1.3424810583237559,1.1726220605196431,0.3575302676343519,1.5888311779333586,"Vladimir Guerrero Jr.",19611,665489
