Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
"Corbin Burnes","BAL",9,3,17,17,0,0,13,106.2,99,2.2781250339467083,57.49992112434351,3.3333640122320505,81.69040121637299,-1.0552389782853422,149.20212690271154,79.88755064123168,90.96924278398527,82.36760990079472,103.4115267620908,69.30969047747827,0.17730497,1.7361624855548143,1.4898373875766993,0.45692556793465156,2.3909295196895863,"Corbin Burnes",19361,669203
"Erick Fedde","CHW",5,3,17,17,0,0,8,100.1,91,3.229235952018192,79.13007049829798,3.5925936703039807,83.91668829106324,-0.3633577182857888,131.6595738002109,84.93028701405797,97.31319377340947,90.75114560699612,97.35661462057446,73.94572007079456,0.1598063,0.8700622599571943,1.5261611053720117,-0.6739263821759118,2.313099483492834,"Erick Fedde",17425,607200
"Reynaldo López","ATL",6,2,14,14,0,0,8,79.1,81,1.7016806995436837,40.69689104815705,2.808442785510757,70.81119168314329,-1.1067620859670735,109.2000681084104,40.48147435766072,86.1755609952451,86.08490027960546,114.81393669090076,105.14090962488247,0.17088608,2.251327944919467,1.9707383131608367,0.2189306940838609,2.240194536104676,"Reynaldo Lopez",16400,625643
"Tanner Bibee","CLE",6,2,16,16,0,0,6,87.1,106,3.503816883169852,87.14046952850767,3.1281874819726045,76.25876431410708,0.3756294011972474,174.2746606180784,88.70234724367756,95.46481582854268,89.62693524684879,129.3812721668688,74.23986878044965,0.2320442,0.8618702068924904,0.7341681658290327,0.07428748058036583,2.1798350196548024,"Tanner Bibee",30134,676440
"Logan Gilbert","SEA",5,4,16,16,0,0,13,106.1,99,2.708464055106282,71.06714189860644,3.2774372897397095,82.11224728098522,-0.5689732346334275,170.5167164499074,80.13798375483572,82.18965307343785,71.35866061520937,108.81362121617317,63.814052255153044,0.19402985,1.1766499932855368,2.206130940467119,-0.8257453334729721,2.1369730938211746,"Logan Gilbert",22250,669302
"Jack Flaherty","DET",5,5,15,15,0,0,9,89,115,3.235955194878533,80.49616309307967,3.061629454479451,74.6896358871405,0.1743257403990821,297.11246048857174,113.15363294509166,95.34374440707339,79.87162395524179,145.59502499070527,49.00334167631211,0.28939828,0.7135780528187752,1.0011608200147748,-0.1884859569141697,2.123149535591446,"Jack Flaherty",17479,656427
"Joe Ryan","MIN",5,5,16,16,0,0,11,98,100,3.306122481152695,82.10697391762722,3.612764524331147,87.77530106419967,-0.306642043178452,241.13475052572332,118.57150312167686,90.8510709648945,76.61155513318307,115.3653393767609,47.84268727828707,0.22193212,0.8009081780910492,1.2953676134347916,-0.31915002814860416,2.110823480292727,"Joe Ryan",21390,657746
"Nestor Cortes","NYY",4,6,17,17,0,0,8,100.2,93,3.397351047019312,83.78552674934026,3.601141334482413,84.77762379006772,-0.20379028746310102,186.87943165201006,100.03979860405907,99.17740932579122,85.69008430763671,101.96521144602319,54.5620331426999,0.18610422,0.3062322437763214,0.997923384886235,-0.6544909670245445,2.0460317619285178,"Nestor Cortes",17874,641482
"MacKenzie Gore","WSN",6,7,16,16,0,0,5,85,99,3.600000080781826,87.75412951680605,3.1504595975644865,77.24419352979488,0.44954048321733975,128.70008024462655,66.11974187475644,109.03470066090992,107.73655770732383,119.20347819273537,92.62114460852813,0.19086022,-0.1976558342576027,0.06919346860377118,-0.25560053622398965,2.0310733246972084,"MacKenzie Gore",22201,669022
"Reese Olson","DET",2,8,15,15,0,0,7,83.1,72,3.348000127716069,83.28334234751371,3.0059890034484864,73.3007062393367,0.34201112426758273,113.22849154051539,37.18402443556432,99.61545999500107,94.88748881145223,91.41708610878462,80.7368278466778,0.1408046,0.9161618277430534,1.002983145415783,0.0002138220863974194,2.0229568873950843,"Reese Olson",24968,681857
