Name,Team,G,PA,HR,R,RBI,BB,SO,SB,CS,AVG,BB/K,wOBA,Def,Off,wRC+,BB%+,K%+,OBP+,SLG+,ISO+,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
"Nolan Arenado","STL",67,275,9,37,32,20,35,1,0,0.272727272,0.571428571,0.3186424935565275,3.778513608733192,1.434570431123837,105.85539693141233,88.54144881010036,56.58325555036993,103.0767381207822,101.97094342589794,88.43017591631012,0.3928457903675735,0.08074827725067735,0.3037453208921119,1.4886732751452911,"Nolan Arenado",9777,571448
"Bryce Harper","PHI",56,241,8,27,24,22,48,1,1,0.273148148,0.458333333,0.35282768797473746,-1.56865069642663,7.814555986035469,127.18462298399854,111.13605193803511,88.54759609488737,109.74584166078833,118.28974422888503,130.21226382725627,-0.45217837509699166,0.23650275345426053,-0.7245035752355317,1.4772226883037234,"Bryce Harper",11579,547180
"Wyatt Langford","TEX",64,268,8,39,33,27,58,8,2,0.256302521,0.465517241,0.32958533723702593,-1.200171209871769,6.288238324852686,114.93142636136481,124.4027905609745,96.3485109568189,107.31486233247603,107.88202292702174,109.92648587017413,0.6677238149568439,0.08310475200414658,0.5461093779039548,1.4389635007749753,"Wyatt Langford",33333,694671
"Daulton Varsho","TOR",62,235,7,33,23,21,65,2,1,0.224880382,0.323076923,0.30448816441671017,6.311098680598661,-0.17274932654007125,98.88168374966311,110.34498169280292,123.13947617086534,98.04989912187801,99.96723334771977,109.91365794792205,-0.32231995463371277,-0.14572993153706193,-0.20271410822168728,1.4343246597599826,"Daulton Varsho",19918,662139
"Jacob Young","WSN",68,243,2,34,17,15,47,14,3,0.248847926,0.319148936,0.2916092136326958,7.064771147444844,-1.3617120729714536,86.6883515594109,75.15092173431385,85.98925059418727,98.66792270354841,85.73638116454593,61.8603715347571,-0.4117851846385747,-0.9155667486193124,0.4970621552746665,1.4282877028439116,"Jacob Young",29931,696285
"Zack Gelof","OAK",64,254,9,33,26,21,83,15,2,0.237885462,0.253012048,0.3129927757687456,0.9433393320650794,4.347038341061804,107.18543589214265,102.09082922724373,145.47761869361148,99.23515361168664,104.2384304394669,112.44226393271212,-1.094706161879003,0.09558489263326919,-1.2354964587921182,1.4119630243531949,"Zack Gelof",29766,680869
"Masyn Winn","STL",65,299,9,41,23,18,45,3,2,0.255395683,0.4,0.30653334363994983,3.947329441085458,-0.4050135829359345,97.67814121298272,73.29099823867789,66.91044317400345,95.8401461846503,99.93942486269647,94.27401973514002,-0.4367358786985278,-0.19140895083546638,-0.26049359657590193,1.3998507710825743,"Masyn Winn",27479,691026
"Willson Contreras","STL",49,213,9,26,23,24,56,2,1,0.261111111,0.428571428,0.36068999767303467,-1.0539245659601875,7.446519524859287,134.24989166069835,137.17689348292896,116.8855985162138,119.18774587572108,110.25063548449769,117.19103763629776,-0.11477256752550602,0.1846131646889262,-0.30999024036189937,1.3953628034188061,"Willson Contreras",11609,575929
"Masataka Yoshida","BOS",62,247,8,28,41,18,31,1,0,0.319634703,0.580645161,0.38211095381362237,-6.396391282498371,11.298083326574515,145.6724715615921,89.98636346426451,55.87487261677789,125.59690559671388,124.1382180936347,110.72225606937825,1.087309061549604,1.2469503759566578,-0.16833868574800936,1.348056855995559,"Masataka Yoshida",31837,807799
"Nico Hoerner","CHC",65,282,2,38,22,12,32,14,3,0.273764258,0.375,0.2978038675818883,4.152999868616462,-0.5647634248178619,92.6556181898184,51.80616677926437,50.449103198790255,100.15257513465814,89.60484165740235,55.90170521549007,0.015139977680519223,-0.38843519531656057,0.40504315192846474,1.3457108033079337,"Nico Hoerner",21479,663538
