Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
"Logan Webb","SFG",6,4,14,14,1,1,7,88.1,70,3.9735849628604667,98.64782046572576,3.287196558656621,84.33889964002293,0.6863884042038455,106.1667328589101,54.53542008333638,105.3611301010083,98.39961827211941,85.9017174565847,80.912091295521,0.1260274,0.23285433277487755,0.8657338488847017,-0.6515635719229668,1.516808867631202,"Logan Webb",17995,657277
"Sean Manaea","NYM",6,2,14,14,0,0,10,87.2,95,2.8745247982162883,72.64413188536373,3.732924387288123,92.55727238702578,-0.8583995890718348,133.0000829217511,100.74192133468152,71.51302819355857,71.70518186712438,122.98274386205172,92.46817765190461,0.19942197,1.4142963886260986,1.4185807647299953,0.18909705220307416,1.4784079876506373,"Sean Manaea",15873,640455
"Brandon Pfaadt","ARI",6,3,13,13,0,0,4,69.2,74,5.296650983560192,126.61483315983227,3.2744674838000543,83.40985187043964,2.022183499760138,179.57344532169708,92.19704522766918,118.71808187799782,108.05546301399961,110.855489352313,61.73267886902517,0.19732441,0.049925982020795345,0.06451239949092269,-0.013707968542908316,1.4071942883392123,"Brandon Pfaadt",27782,694297
"Nick Martinez","CIN",7,1,19,9,0,0,4,69,56,2.6086957242853948,59.567287346653316,3.623264384595218,83.93647667900687,-1.0145686603098234,203.84012713569942,93.08783583599147,96.24719204094008,80.9810533775032,90.88152727456894,44.584712516518174,0.16666667,1.3760460652410984,1.2469839313998818,0.39633821573680494,1.3950543173350152,"Nick Martinez",12730,607259
"Kevin Gausman","TOR",6,5,13,13,1,0,8,83.1,69,3.7800001009368924,94.5407454831383,3.7979890265197755,92.15831537323898,-0.01798892558288312,77.99202088096283,65.07204201754709,95.43281287318615,98.72132561345211,87.86051379247041,112.65321557794064,0.10662824,0.4311303709400818,1.0524774268269539,-0.5855401989786206,1.3834275332037596,"Kevin Gausman",14107,592332
"Yusei Kikuchi","- - -",5,2,14,14,0,0,3,80.1,103,4.593361286676892,115.0288869007349,3.60967368474523,87.95267136089979,0.9836876019316616,169.34235889570985,125.36108138695936,91.51353832107617,88.48848146148728,136.66808635087474,80.705203376924,0.24324324,0.25796410255134106,0.6983595241326839,-0.4510597150309604,1.3726049635404822,"Yusei Kikuchi",20633,579328
"Nathan Eovaldi","TEX",7,5,13,13,0,0,9,79,76,3.8734177215189876,95.48866008478205,3.844875085806545,91.70728227381922,0.028542635712442532,274.8936156268139,127.4768721578013,96.11152901549998,79.87162053180285,106.60489855217439,38.78042158750968,0.20952381,0.5736003015190363,1.0198328878032044,-0.38227868125703124,1.3608134913322325,"Nathan Eovaldi",9132,543135
"Brayan Bello","BOS",7,2,14,14,0,0,7,81.1,78,3.762295229016571,87.66441929967682,3.825628379588806,92.10404383494767,-0.06333315057223521,91.00892197237833,76.19677145582875,101.07465426506921,103.11295676590034,100.18674876909029,110.08454226979256,0.13662791,0.800280069001019,0.32176956976763904,0.4160912540847317,1.359366042353006,"Brayan Bello",23920,678394
"Kyle Freeland","COL",5,4,14,14,0,0,9,81.1,66,3.6516394869866717,78.01971529872964,4.2190710179173365,98.72802276858042,-0.5674315309306648,150.1500936490643,128.3295948262996,107.50798698394419,95.4182504607866,88.24615690888209,58.77196736265916,0.14925373,0.9416421540081501,0.39953536354005337,0.5728243372274042,1.3177417191373235,"Kyle Freeland",16256,607536
"Dean Kremer","BAL",4,5,13,13,0,0,6,68.2,64,3.932038925968071,99.24474062309145,3.741950188052566,91.91700623752013,0.19008873791550496,74.67398726587943,56.40780321271408,97.63958382463674,108.17564390385756,93.63692702548815,125.39431238565888,0.10927152,-0.6578238569200039,0.2559121132217115,-0.9394671877164698,1.29036902023955,"Dean Kremer",19350,665152
